a1b1c1;Percentage;Type;Class
0.1;0.38;try = 100;L1 charge type
0.2;0.49;try = 100;L1 charge type
0.3;0.99;try = 100;L1 charge type
0.4;1.32;try = 100;L1 charge type
0.5;1.51;try = 100;L1 charge type
0.1;0.47;try = 1;L1 charge type
0.2;1.39;try = 1;L1 charge type
0.3;1.77;try = 1;L1 charge type
0.4;2.52;try = 1;L1 charge type
0.5;2.95;try = 1;L1 charge type
0.1;0.13;try = 100;L2 charge type
0.2;0.12;try = 100;L2 charge type
0.3;0.05;try = 100;L2 charge type
0.4;0.07;try = 100;L2 charge type
0.5;0.17;try = 100;L2 charge type
0.1;0.08;try = 1;L2 charge type
0.2;0.48;try = 1;L2 charge type
0.3;0.59;try = 1;L2 charge type
0.4;1.03;try = 1;L2 charge type
0.5;1.37;try = 1;L2 charge type
