"Charge_Type";"Charge_Date";"Day_Type";"PEV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"KWh";"Spans_Zones";"Noise"
"L1";"5/1/2010";"Weekday";"H001.V001";9;"16:40";"18:00";"Peak";2,88;FALSE;0
"L1";"5/1/2010";"Weekday";"H001.V001";5;"20:20";"21:00";"Shoulder 2";1,6;FALSE;0
"L1";"6/1/2010";"Weekday";"H001.V001";5;"20:10";"20:50";"Shoulder 2";1,6;FALSE;0
"L1";"7/1/2010";"Weekday";"H001.V001";2;"13:40";"13:50";"Shoulder 1";0,64;FALSE;0
"L1";"8/1/2010";"Weekday";"H001.V001";2;"9:40";"9:50";"Shoulder 1";0,64;FALSE;0
"L1";"8/1/2010";"Weekday";"H001.V001";3;"13:30";"13:50";"Shoulder 1";0,96;TRUE;0
"L1";"8/1/2010";"Weekday";"H001.V001";3;"14:00";"14:20";"Peak";0,96;TRUE;0
"L1";"8/1/2010";"Weekday";"H001.V001";2;"19:40";"19:50";"Peak";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H002.V002";2;"7:50";"8:00";"Shoulder 1";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H002.V002";13;"14:20";"16:20";"Peak";4,16;FALSE;0
"L1";"4/1/2010";"Weekday";"H002.V002";2;"21:40";"21:50";"Shoulder 2";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H002.V002";11;"10:50";"12:30";"Shoulder 1";3,52;FALSE;0
"L1";"5/1/2010";"Weekday";"H002.V002";5;"15:30";"16:10";"Peak";1,6;FALSE;0
"L1";"7/1/2010";"Weekday";"H002.V002";9;"18:30";"19:50";"Peak";2,88;FALSE;0
"L1";"8/1/2010";"Weekday";"H002.V002";2;"8:40";"8:50";"Shoulder 1";0,64;FALSE;0
"L1";"8/1/2010";"Weekday";"H002.V002";12;"9:30";"11:20";"Shoulder 1";3,84;FALSE;0
"L1";"8/1/2010";"Weekday";"H002.V002";2;"14:10";"14:20";"Peak";0,64;FALSE;0
"L1";"8/1/2010";"Weekday";"H002.V002";11;"14:50";"16:30";"Peak";3,52;FALSE;0
"L1";"8/1/2010";"Weekday";"H002.V002";14;"17:40";"19:50";"Peak";4,48;TRUE;0
"L1";"8/1/2010";"Weekday";"H002.V002";12;"20:00";"21:50";"Shoulder 2";3,84;TRUE;0
"L1";"8/1/2010";"Weekday";"H002.V002";12;"22:00";"23:50";"Off-Peak";3,84;TRUE;0
"L1";"4/1/2010";"Weekday";"H002.V003";2;"11:50";"12:00";"Shoulder 1";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H002.V003";2;"16:10";"16:20";"Peak";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H002.V003";5;"22:50";"23:30";"Off-Peak";1,6;FALSE;0
"L1";"5/1/2010";"Weekday";"H002.V003";6;"0:10";"1:00";"Off-Peak";1,92;FALSE;0
"L1";"5/1/2010";"Weekday";"H002.V003";1;"12:50";"12:50";"Shoulder 1";0,32;FALSE;0
"L1";"5/1/2010";"Weekday";"H002.V003";16;"14:30";"17:00";"Peak";5,12;FALSE;0
"L1";"6/1/2010";"Weekday";"H002.V003";2;"3:00";"3:10";"Off-Peak";0,64;FALSE;0
"L1";"6/1/2010";"Weekday";"H002.V003";1;"9:20";"9:20";"Shoulder 1";0,32;FALSE;0
"L1";"6/1/2010";"Weekday";"H002.V003";1;"12:30";"12:30";"Shoulder 1";0,32;FALSE;0
"L1";"6/1/2010";"Weekday";"H002.V003";15;"17:00";"19:20";"Peak";4,8;FALSE;0
"L1";"6/1/2010";"Weekday";"H002.V003";1;"21:50";"21:50";"Shoulder 2";0,32;TRUE;0
"L1";"6/1/2010";"Weekday";"H002.V003";7;"22:00";"23:00";"Off-Peak";2,24;TRUE;0
"L1";"7/1/2010";"Weekday";"H002.V003";10;"16:10";"17:40";"Peak";3,2;FALSE;0
"L1";"8/1/2010";"Weekday";"H002.V003";1;"13:30";"13:30";"Shoulder 1";0,32;FALSE;0
"L1";"8/1/2010";"Weekday";"H002.V003";4;"16:10";"16:40";"Peak";1,28;FALSE;0
"L1";"8/1/2010";"Weekday";"H002.V003";1;"19:50";"19:50";"Peak";0,32;TRUE;0
"L1";"8/1/2010";"Weekday";"H002.V003";4;"20:00";"20:30";"Shoulder 2";1,28;TRUE;0
"L1";"4/1/2010";"Weekday";"H003.V004";19;"0:00";"3:00";"Off-Peak";6,08;FALSE;0
