"Charge_Type";"Date";"HV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"DayType";"KWh";"Splits";"Noise"
"L1";"5/1/2010";"H001.V001";9;"8:10";"9:30";"Shoulder 1";"W";2,88;FALSE;0
"L1";"5/1/2010";"H001.V001";5;"20:20";"21:00";"Shoulder 2";"W";1,6;FALSE;0
"L1";"6/1/2010";"H001.V001";5;"20:10";"20:50";"Shoulder 2";"W";1,6;FALSE;0
"L1";"7/1/2010";"H001.V001";2;"13:40";"13:50";"Shoulder 1";"W";0,64;FALSE;0
"L1";"8/1/2010";"H001.V001";2;"3:40";"3:50";"Off Peak";"W";0,64;FALSE;0
"L1";"8/1/2010";"H001.V001";2;"9:40";"9:50";"Shoulder 1";"W";0,64;FALSE;0
"L1";"8/1/2010";"H001.V001";3;"13:30";"13:50";"Shoulder 1";"W";0,96;TRUE;0
"L1";"8/1/2010";"H001.V001";3;"14:00";"14:20";"Peak";"W";0,96;TRUE;0
"L1";"4/1/2010";"H002.V002";2;"5:40";"5:50";"Off Peak";"W";0,64;FALSE;0
"L1";"4/1/2010";"H002.V002";2;"7:50";"8:00";"Shoulder 1";"W";0,64;FALSE;0
"L1";"4/1/2010";"H002.V002";13;"22:40";"0:40";"Off Peak";"W";4,16;FALSE;0
"L1";"5/1/2010";"H002.V002";11;"10:50";"12:30";"Shoulder 1";"W";3,52;FALSE;0
"L1";"5/1/2010";"H002.V002";5;"15:30";"16:10";"Peak";"W";1,6;FALSE;0
"L1";"7/1/2010";"H002.V002";9;"20:30";"21:50";"Shoulder 2";"W";2,88;FALSE;0
"L1";"8/1/2010";"H002.V002";2;"0:50";"1:00";"Off Peak";"W";0,64;FALSE;0
"L1";"8/1/2010";"H002.V002";12;"9:30";"11:20";"Shoulder 1";"W";3,84;FALSE;0
"L1";"8/1/2010";"H002.V002";2;"14:10";"14:20";"Peak";"W";0,64;FALSE;0
"L1";"8/1/2010";"H002.V002";11;"14:50";"16:30";"Peak";"W";3,52;FALSE;0
"L1";"8/1/2010";"H002.V002";14;"17:40";"19:50";"Peak";"W";4,48;TRUE;0
"L1";"8/1/2010";"H002.V002";12;"20:00";"21:50";"Shoulder 2";"W";3,84;TRUE;0
"L1";"8/1/2010";"H002.V002";12;"22:00";"23:50";"Off Peak";"W";3,84;TRUE;0
"L1";"4/1/2010";"H002.V003";2;"5:10";"5:20";"Off Peak";"W";0,64;FALSE;0
"L1";"4/1/2010";"H002.V003";2;"16:10";"16:20";"Peak";"W";0,64;FALSE;0
"L1";"4/1/2010";"H002.V003";5;"22:50";"23:30";"Off Peak";"W";1,6;FALSE;0
"L1";"5/1/2010";"H002.V003";6;"0:10";"1:00";"Off Peak";"W";1,92;FALSE;0
"L1";"5/1/2010";"H002.V003";16;"1:20";"3:50";"Off Peak";"W";5,12;FALSE;0
"L1";"5/1/2010";"H002.V003";1;"12:50";"12:50";"Shoulder 1";"W";0,32;FALSE;0
"L1";"6/1/2010";"H002.V003";2;"3:00";"3:10";"Off Peak";"W";0,64;FALSE;0
"L1";"6/1/2010";"H002.V003";15;"4:20";"6:40";"Off Peak";"W";4,8;FALSE;0
"L1";"6/1/2010";"H002.V003";1;"9:20";"9:20";"Shoulder 1";"W";0,32;FALSE;0
"L1";"6/1/2010";"H002.V003";1;"20:20";"20:20";"Shoulder 2";"W";0,32;FALSE;0
"L1";"6/1/2010";"H002.V003";1;"21:50";"21:50";"Shoulder 2";"W";0,32;TRUE;0
"L1";"6/1/2010";"H002.V003";7;"22:00";"23:00";"Off Peak";"W";2,24;TRUE;0
"L1";"7/1/2010";"H002.V003";10;"8:20";"9:50";"Shoulder 1";"W";3,2;FALSE;0
"L1";"8/1/2010";"H002.V003";4;"2:00";"2:30";"Off Peak";"W";1,28;FALSE;0
"L1";"8/1/2010";"H002.V003";1;"13:30";"13:30";"Shoulder 1";"W";0,32;FALSE;0
"L1";"8/1/2010";"H002.V003";1;"19:50";"19:50";"Peak";"W";0,32;TRUE;0
"L1";"8/1/2010";"H002.V003";4;"20:00";"20:30";"Shoulder 2";"W";1,28;TRUE;0
"L1";"4/1/2010";"H003.V004";19;"0:00";"3:00";"Off Peak";"W";6,08;FALSE;0
